,Gender,calories_day,weight
1,1,3.0,155.0
4,1,2.0,190.0
5,1,3.0,190.0
6,2,3.0,180.0
7,1,3.0,137.0
9,1,3.0,125.0
10,1,3.0,116.0
11,1,4.0,110.0
12,2,3.0,264.0
13,1,3.0,123.0
14,2,3.0,185.0
16,1,3.0,145.0
17,2,3.0,170.0
18,1,3.0,135.0
19,2,2.0,165.0
20,2,3.0,175.0
21,2,3.0,195.0
22,2,3.0,185.0
23,2,3.0,185.0
24,1,2.0,105.0
25,1,3.0,125.0
26,2,2.0,160.0
27,2,4.0,175.0
28,2,2.0,180.0
29,2,2.0,167.0
30,1,3.0,115.0
31,2,3.0,205.0
33,1,3.0,128.0
34,1,3.0,150.0
35,1,2.0,150.0
36,1,3.0,150.0
37,1,4.0,170.0
38,1,3.0,150.0
40,2,3.0,140.0
41,1,4.0,120.0
42,1,3.0,135.0
43,1,2.0,100.0
44,1,4.0,170.0
45,1,3.0,113.0
46,2,2.0,168.0
49,2,3.0,150.0
50,2,3.0,169.0
51,2,4.0,185.0
52,2,4.0,200.0
54,2,3.0,165.0
55,1,2.0,192.0
56,2,4.0,175.0
57,1,4.0,140.0
58,1,3.0,155.0
60,1,4.0,135.0
61,1,2.0,118.0
62,2,4.0,210.0
63,1,4.0,180.0
64,1,3.0,140.0
66,1,3.0,125.0
68,1,3.0,145.0
69,1,4.0,130.0
70,1,3.0,140.0
72,2,3.0,140.0
73,2,4.0,200.0
75,1,3.0,120.0
76,1,3.0,150.0
77,2,2.0,200.0
78,1,3.0,135.0
79,2,3.0,145.0
80,1,2.0,130.0
81,1,3.0,190.0
83,1,3.0,127.0
84,1,3.0,167.0
85,1,3.0,140.0
86,1,3.0,190.0
87,2,3.0,155.0
88,2,4.0,175.0
89,1,3.0,129.0
90,2,4.0,260.0
91,1,2.0,135.0
94,2,3.0,175.0
96,2,3.0,210.0
97,1,3.0,155.0
98,2,3.0,185.0
99,1,4.0,165.0
100,1,3.0,125.0
102,1,4.0,135.0
103,1,3.0,130.0
104,1,3.0,230.0
105,1,3.0,125.0
106,1,3.0,130.0
107,1,3.0,165.0
108,1,2.0,128.0
109,1,3.0,200.0
110,1,3.0,160.0
111,2,2.0,170.0
112,1,4.0,129.0
113,1,2.0,170.0
114,2,3.0,138.0
115,2,4.0,150.0
118,1,3.0,140.0
119,2,3.0,185.0
120,1,4.0,156.0
121,1,2.0,180.0
123,2,4.0,135.0
